# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  142       5.406911533337e-10       1.478777322560e-13      -5.910166470612e-12       8.837721429501e-16       4.151367646947e-12       7.201892550592e-13      -4.553476929117e-15 
  143       5.451329115123e-10       1.477119705656e-13      -5.937714922513e-12       8.971968549999e-16       4.069704989718e-12       7.091489035196e-13      -4.490733441692e-15 
  144       5.495585224566e-10       1.474826360353e-13      -5.962449797864e-12       9.107545298227e-16       3.989860824013e-12       6.982981151812e-13      -4.427430263594e-15 
  145       5.539668875617e-10       1.471902720219e-13      -5.984320129161e-12       9.244457692082e-16       3.911813878400e-12       6.876349351079e-13      -4.363544395721e-15 
  146       5.583570002925e-10       1.468355236945e-13      -6.003276533574e-12       9.382710398544e-16       3.835571789902e-12       6.771614700923e-13      -4.299121423111e-15 
  147       5.627278175957e-10       1.464191308738e-13      -6.019270938017e-12       9.522307868758e-16       3.761135923149e-12       6.668790864239e-13      -4.234207189826e-15 
  148       5.670782590989e-10       1.459419297734e-13      -6.032256618991e-12       9.663254332590e-16       3.688501213558e-12       6.567883905897e-13      -4.168847779414e-15 
  149       5.714072063098e-10       1.454048547405e-13      -6.042188242408e-12       9.805553793184e-16       3.617656010531e-12       6.468892099740e-13      -4.103089495361e-15 
  150       5.757135018152e-10       1.448089399968e-13      -6.049021903432e-12       9.949210021519e-16       3.548581920637e-12       6.371805735596e-13      -4.036978841552e-15 
  151       5.799959484799e-10       1.441553213799e-13      -6.052715166313e-12       1.009422655097e-15       3.481253650803e-12       6.276606926269e-13      -3.970562502723e-15 
  152       5.842533086463e-10       1.434452380842e-13      -6.053227104217e-12       1.024060667185e-15       3.415638851507e-12       6.183269414553e-13      -3.903887324924e-15 
  153       5.884843033326e-10       1.426800344017e-13      -6.050518339066e-12       1.038835342600e-15       3.351697959961e-12       6.091758380226e-13      -3.837000295971e-15 
  154       5.926876114328e-10       1.418611614633e-13      -6.044551081368e-12       1.053746960131e-15       3.289384043304e-12       6.002030247057e-13      -3.769948525906e-15 
  155       5.968618689152e-10       1.409901789794e-13      -6.035289170052e-12       1.068795772629e-15       3.228642641787e-12       5.914032489811e-13      -3.702779227452e-15 
  156       6.010056680215e-10       1.400687569816e-13      -6.022698112307e-12       1.083982006464e-15       3.169411611969e-12       5.827703441245e-13      -3.635539696472e-15 
  157       6.051175564662e-10       1.390986775629e-13      -6.006745123407e-12       1.099305860978e-15       3.111620969896e-12       5.742972099116e-13      -3.568277292424e-15 
  158       6.091960366353e-10       1.380818366195e-13      -5.987399166555e-12       1.114767507943e-15       3.055192734301e-12       5.659757933185e-13      -3.501039418820e-15 
  159       6.132395647856e-10       1.370202455912e-13      -5.964630992711e-12       1.130367091016e-15       3.000040769783e-12       5.577970692213e-13      -3.433873503681e-15 
  160       6.172465502437e-10       1.359160332027e-13      -5.938413180429e-12       1.146104725196e-15       2.946070630002e-12       5.497510210972e-13      -3.366826979994e-15 
  161       6.212154662728e-10       1.347713978743e-13      -5.908720043100e-12       1.161980506906e-15       2.893198910001e-12       5.418289731962e-13      -3.299945471095e-15 
